"","non-stroke_rep1","non-stroke_rep2","non-stroke_rep3","stroke_rep1","stroke_rep2","stroke_rep3","stroke_rep4","stroke_rep5"
"TSPAN6",2.53142094992904,1.19142658561296,3.27895656839141,5.62625931554319,11.8174906753977,3.6912795626563,1.10746787898286,0
"DPM1",6.3285523748226,4.76570634245183,11.4763479893699,7.50167908739092,5.06463886088471,5.53691934398445,6.09107333440574,2.55739408186959
"SCYL3",1.26571047496452,1.19142658561296,6.55791313678282,0,3.37642590725647,0.615213260442717,4.98360545542288,2.55739408186959
"FGR",0,0,0,1.87541977184773,3.37642590725647,0.615213260442717,0,5.11478816373918
"CFH",3.79713142489356,1.19142658561296,1.63947828419571,1.87541977184773,3.37642590725647,0.615213260442717,1.66120181847429,2.55739408186959
"FUCA2",0,1.19142658561296,0,1.87541977184773,0,1.84563978132815,3.87613757644002,0
"GCLC",11.3913942746807,8.3399860992907,11.4763479893699,3.75083954369546,8.44106476814118,14.7651182506252,20.4881557611829,10.2295763274784
"NFYA",5.06284189985808,4.76570634245183,3.27895656839141,0,3.37642590725647,3.6912795626563,4.42987151593145,0
"STPG1",2.53142094992904,2.38285317122591,4.91843485258712,7.50167908739092,1.68821295362824,3.07606630221359,1.10746787898286,0
"NIPAL3",30.3770513991485,13.1056924417425,24.5921742629356,9.37709885923866,28.69962021168,20.3020375946097,18.2732200032172,17.9017585730871
"LAS1L",1.26571047496452,2.38285317122591,1.63947828419571,5.62625931554319,1.68821295362824,1.84563978132815,6.64480727389717,0
"ENPP4",12.6571047496452,7.14855951367774,13.1158262735656,13.1279384029341,13.5057036290259,7.99777238575532,13.2896145477943,0
"SEMA3F",1.26571047496452,1.19142658561296,3.27895656839141,0,0,0,0,0
"ANKIB1",20.2513675994323,20.2542519554203,19.6737394103485,5.62625931554319,5.06463886088471,18.4563978132815,15.5045503057601,7.67218224560877
"CYP51A1",22.7827885493614,17.8713987841944,18.0342611261528,9.37709885923866,6.75285181451294,44.2953547518756,48.1748527357545,10.2295763274784
"KRIT1",3.79713142489356,4.76570634245183,3.27895656839141,11.2525186310864,5.06463886088471,3.07606630221359,8.8597430318629,0
"RAD52",3.79713142489356,2.38285317122591,1.63947828419571,1.87541977184773,1.68821295362824,0,0.553733939491431,2.55739408186959
"BAD",5.06284189985808,5.95713292806478,6.55791313678282,7.50167908739092,1.68821295362824,4.92170608354174,4.42987151593145,5.11478816373918
"LAP3",2.53142094992904,7.14855951367774,8.19739142097853,1.87541977184773,10.1292777217694,3.07606630221359,12.1821466688115,10.2295763274784
"CD99",1.26571047496452,1.19142658561296,4.91843485258712,1.87541977184773,3.37642590725647,6.76734586486989,4.98360545542288,2.55739408186959
"HS3ST1",1.26571047496452,1.19142658561296,3.27895656839141,1.87541977184773,3.37642590725647,0.615213260442717,0.553733939491431,2.55739408186959
"AOC1",0,0,0,0,3.37642590725647,0,1.10746787898286,2.55739408186959
"HECW1",17.7199466495033,19.0628253698073,14.7553045577613,16.8787779466296,37.1406849798212,22.1476773759378,26.5792290955887,12.786970409348
"MAD1L1",0,2.38285317122591,0,0,5.06463886088471,1.23042652088543,1.10746787898286,2.55739408186959
"LASP1",8.85997332475164,2.38285317122591,8.19739142097853,5.62625931554319,5.06463886088471,15.3803315110679,9.41347697135433,10.2295763274784
"SNX11",3.79713142489356,1.19142658561296,1.63947828419571,3.75083954369546,3.37642590725647,3.6912795626563,4.42987151593145,0
"TMEM176A",1.26571047496452,0,0,0,0,3.6912795626563,1.66120181847429,2.55739408186959
"M6PR",10.1256837997162,4.76570634245183,4.91843485258712,1.87541977184773,5.06463886088471,7.99777238575532,8.8597430318629,0
"KLHL13",2.53142094992904,0,1.63947828419571,1.87541977184773,0,1.84563978132815,4.98360545542288,2.55739408186959
"CYP26B1",6.3285523748226,3.57427975683887,4.91843485258712,3.75083954369546,6.75285181451294,1.84563978132815,3.32240363694859,5.11478816373918
"ICA1",7.59426284978712,9.53141268490365,3.27895656839141,3.75083954369546,6.75285181451294,7.38255912531261,9.96721091084576,2.55739408186959
"DBNDD1",6.3285523748226,3.57427975683887,0,1.87541977184773,10.1292777217694,6.76734586486989,1.10746787898286,2.55739408186959
"ALS2",16.4542361745388,14.2971190273555,21.3132176945442,11.2525186310864,18.5703424899106,6.76734586486989,9.41347697135433,7.67218224560877
"CFLAR",3.79713142489356,7.14855951367774,6.55791313678282,1.87541977184773,3.37642590725647,5.53691934398445,8.30600909237146,10.2295763274784
"TFPI",0,0,0,1.87541977184773,3.37642590725647,0.615213260442717,0.553733939491431,2.55739408186959
"NDUFAF7",2.53142094992904,3.57427975683887,4.91843485258712,7.50167908739092,3.37642590725647,3.07606630221359,4.42987151593145,2.55739408186959
"RBM5",13.9228152246097,4.76570634245183,13.1158262735656,18.7541977184773,10.1292777217694,17.2259712923961,31.0091006115201,7.67218224560877
"MTMR7",15.1885256995742,4.76570634245183,9.83686970517423,5.62625931554319,3.37642590725647,6.76734586486989,12.7358806083029,0
"SLC7A2",12.6571047496452,90.5484205065847,47.5448702416754,13.1279384029341,6.75285181451294,14.7651182506252,2.76866969745716,12.786970409348
"ARF5",3.79713142489356,5.95713292806478,6.55791313678282,0,15.1939165826541,9.84341216708347,15.5045503057601,2.55739408186959
"SARM1",8.85997332475164,8.3399860992907,4.91843485258712,3.75083954369546,6.75285181451294,3.07606630221359,7.75227515288003,0
"POLDIP2",1.26571047496452,11.9142658561296,4.91843485258712,1.87541977184773,6.75285181451294,6.76734586486989,9.41347697135433,2.55739408186959
"PLXND1",7.59426284978712,7.14855951367774,18.0342611261528,11.2525186310864,10.1292777217694,9.22819890664076,8.8597430318629,12.786970409348
"AK2",2.53142094992904,11.9142658561296,6.55791313678282,3.75083954369546,3.37642590725647,1.23042652088543,2.76866969745716,0
"CD38",3.79713142489356,2.38285317122591,4.91843485258712,0,1.68821295362824,4.92170608354174,0.553733939491431,2.55739408186959
"FKBP4",7.59426284978712,5.95713292806478,11.4763479893699,24.3804570340205,13.5057036290259,27.0693834594796,14.9508163662686,2.55739408186959
"KDM1A",2.53142094992904,5.95713292806478,9.83686970517423,9.37709885923866,5.06463886088471,11.0738386879689,23.2568254586401,5.11478816373918
"RBM6",10.1256837997162,5.95713292806478,1.63947828419571,3.75083954369546,5.06463886088471,9.22819890664076,12.7358806083029,7.67218224560877
"CAMKK1",15.1885256995742,23.8285317122591,8.19739142097853,7.50167908739092,37.1406849798212,15.3803315110679,21.0418897006744,10.2295763274784
"RECQL",5.06284189985808,4.76570634245183,4.91843485258712,7.50167908739092,3.37642590725647,4.92170608354174,3.87613757644002,0
"VPS50",6.3285523748226,4.76570634245183,11.4763479893699,13.1279384029341,10.1292777217694,9.22819890664076,28.7941648535544,10.2295763274784
"ARHGAP33",1.26571047496452,2.38285317122591,3.27895656839141,0,1.68821295362824,9.22819890664076,6.64480727389717,10.2295763274784
"NDUFAB1",7.59426284978712,8.3399860992907,9.83686970517423,3.75083954369546,5.06463886088471,10.4586254275262,20.4881557611829,10.2295763274784
"PDK4",6.3285523748226,2.38285317122591,16.3947828419571,1.87541977184773,3.37642590725647,10.4586254275262,13.2896145477943,7.67218224560877
"ARX",0,3.57427975683887,0,1.87541977184773,0,3.6912795626563,4.42987151593145,2.55739408186959
"SLC25A13",13.9228152246097,15.4885456129684,13.1158262735656,33.7575558932592,64.152092237873,29.5302365012504,11.0746787898286,53.7052757192614
"ST7",1.26571047496452,1.19142658561296,3.27895656839141,5.62625931554319,3.37642590725647,4.92170608354174,4.42987151593145,5.11478816373918
