NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RRNA METHYLATION%GOBP%GO:0031167	RRNA METHYLATION%GOBP%GO:0031167	Details ...	21	-0.6590767	-1.9943495	0.0	0.8484502	0.429	848	tags=14%, list=6%, signal=15%	
MECP2 REGULATES NEURONAL RECEPTORS AND CHANNELS%REACTOME DATABASE ID RELEASE 83%9022699	MECP2 REGULATES NEURONAL RECEPTORS AND CHANNELS%REACTOME DATABASE ID RELEASE 83%9022699	Details ...	15	-0.7345208	-1.975014	0.0033898305	0.5317681	0.512	2076	tags=47%, list=14%, signal=54%	
MAPK CASCADE%WIKIPATHWAYS_20220510%WP422%HOMO SAPIENS	MAPK CASCADE%WIKIPATHWAYS_20220510%WP422%HOMO SAPIENS	Details ...	28	-0.6167742	-1.9286296	0.0	0.5772719	0.701	1934	tags=43%, list=13%, signal=49%	
REGULATION OF FIBROBLAST MIGRATION%GOBP%GO:0010762	REGULATION OF FIBROBLAST MIGRATION%GOBP%GO:0010762	Details ...	20	-0.64681315	-1.8992959	0.0	0.60864645	0.81	2511	tags=55%, list=16%, signal=66%	
OSTEOBLAST DIFFERENTIATION AND RELATED DISEASES%WIKIPATHWAYS_20220510%WP4787%HOMO SAPIENS	OSTEOBLAST DIFFERENTIATION AND RELATED DISEASES%WIKIPATHWAYS_20220510%WP4787%HOMO SAPIENS	Details ...	64	-0.4971102	-1.885562	0.0	0.5665276	0.854	1912	tags=23%, list=12%, signal=27%	
PHOSPHATIDYLINOSITOL PHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0046854	PHOSPHATIDYLINOSITOL PHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0046854	Details ...	40	-0.557493	-1.8624514	0.0045454544	0.5930411	0.921	3433	tags=40%, list=22%, signal=51%	
MAPK TARGETS  NUCLEAR EVENTS MEDIATED BY MAP KINASES%REACTOME DATABASE ID RELEASE 83%450282	MAPK TARGETS  NUCLEAR EVENTS MEDIATED BY MAP KINASES%REACTOME DATABASE ID RELEASE 83%450282	Details ...	30	-0.588051	-1.8581457	0.0	0.528855	0.928	1912	tags=43%, list=12%, signal=49%	
SYNTHESIS OF PIPS AT THE EARLY ENDOSOME MEMBRANE%REACTOME%R-HSA-1660516.7	SYNTHESIS OF PIPS AT THE EARLY ENDOSOME MEMBRANE%REACTOME%R-HSA-1660516.7	Details ...	16	-0.68030185	-1.8422569	0.0033112583	0.5492644	0.948	3840	tags=69%, list=25%, signal=92%	
NOTCH3 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME DATABASE ID RELEASE 83%9013508	NOTCH3 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME DATABASE ID RELEASE 83%9013508	Details ...	22	-0.61479235	-1.8247901	0.0037037036	0.578397	0.97	1724	tags=32%, list=11%, signal=36%	
ENKEPHALIN RELEASE%PANTHER PATHWAY%P05913	ENKEPHALIN RELEASE%PANTHER PATHWAY%P05913	Details ...	30	-0.5686093	-1.824585	0.008298756	0.5217329	0.97	1363	tags=27%, list=9%, signal=29%	
