NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CHAPERONE-MEDIATED PROTEIN FOLDING%GOBP%GO:0061077	CHAPERONE-MEDIATED PROTEIN FOLDING%GOBP%GO:0061077	Details ...	53	0.70888275	2.012232	0.0	0.01046818	0.012	2244	tags=45%, list=15%, signal=53%	
CHAPERONE COFACTOR-DEPENDENT PROTEIN REFOLDING%GOBP%GO:0051085	CHAPERONE COFACTOR-DEPENDENT PROTEIN REFOLDING%GOBP%GO:0051085	Details ...	24	0.77496743	1.9372258	0.0	0.04054871	0.09	1492	tags=42%, list=10%, signal=46%	
PROTEIN FOLDING%GOBP%GO:0006457	PROTEIN FOLDING%GOBP%GO:0006457	Details ...	143	0.6000361	1.9062451	0.0	0.060177952	0.187	2511	tags=36%, list=16%, signal=43%	
PROTEIN REFOLDING%GOBP%GO:0042026	PROTEIN REFOLDING%GOBP%GO:0042026	Details ...	18	0.8020515	1.8608818	0.0013869626	0.13958712	0.472	1237	tags=50%, list=8%, signal=54%	
'DE NOVO' POST-TRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	'DE NOVO' POST-TRANSLATIONAL PROTEIN FOLDING%GOBP%GO:0051084	Details ...	29	0.73201513	1.8563224	0.0	0.12213194	0.502	1492	tags=34%, list=10%, signal=38%	
GLYCOLYSIS%BIOCYC%PWY66-400	GLYCOLYSIS%BIOCYC%PWY66-400	Details ...	18	0.7868169	1.8557265	0.0	0.10395932	0.508	3002	tags=83%, list=20%, signal=103%	
'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458	'DE NOVO' PROTEIN FOLDING%GOBP%GO:0006458	Details ...	33	0.6975377	1.8538308	0.0	0.092482276	0.524	1492	tags=33%, list=10%, signal=37%	
SUPERPATHWAY OF CONVERSION OF GLUCOSE TO ACETYL COA AND ENTRY INTO THE TCA CYCLE%BIOCYC%PWY66-407	SUPERPATHWAY OF CONVERSION OF GLUCOSE TO ACETYL COA AND ENTRY INTO THE TCA CYCLE%BIOCYC%PWY66-407	Details ...	39	0.6776137	1.8257871	0.0	0.13850465	0.71	3276	tags=62%, list=21%, signal=78%	
BINDING AND UPTAKE OF LIGANDS BY SCAVENGER RECEPTORS%REACTOME DATABASE ID RELEASE 83%2173782	BINDING AND UPTAKE OF LIGANDS BY SCAVENGER RECEPTORS%REACTOME DATABASE ID RELEASE 83%2173782	Details ...	25	0.70241064	1.8107172	0.0	0.16746421	0.815	1369	tags=36%, list=9%, signal=39%	
HSF1-DEPENDENT TRANSACTIVATION%REACTOME%R-HSA-3371571.1	HSF1-DEPENDENT TRANSACTIVATION%REACTOME%R-HSA-3371571.1	Details ...	23	0.7292959	1.8070883	0.0	0.16205947	0.847	2218	tags=57%, list=14%, signal=66%	
GLUCONEOGENESIS%REACTOME DATABASE ID RELEASE 83%70263	GLUCONEOGENESIS%REACTOME DATABASE ID RELEASE 83%70263	Details ...	23	0.7331618	1.7919304	0.0013774105	0.19388172	0.907	2470	tags=61%, list=16%, signal=72%	
RESPONSE TO UNFOLDED PROTEIN%GOBP%GO:0006986	RESPONSE TO UNFOLDED PROTEIN%GOBP%GO:0006986	Details ...	74	0.59938794	1.7606676	0.0	0.30095962	0.987	2298	tags=34%, list=15%, signal=40%	
GLUCONEOGENESIS%BIOCYC%PWY66-399	GLUCONEOGENESIS%BIOCYC%PWY66-399	Details ...	15	0.77749604	1.7591571	0.0	0.2839836	0.988	3002	tags=80%, list=20%, signal=99%	
PROCOLLAGEN HYDROXYLATION AND GLYCOSYLATION%BIOCYC%PWY-7894	PROCOLLAGEN HYDROXYLATION AND GLYCOSYLATION%BIOCYC%PWY-7894	Details ...	15	0.75676656	1.7173041	0.004385965	0.514128	1.0	1717	tags=53%, list=11%, signal=60%	
GLUCOSE METABOLIC PROCESS%GOBP%GO:0006006	GLUCOSE METABOLIC PROCESS%GOBP%GO:0006006	Details ...	49	0.59490806	1.7098361	0.001183432	0.54099745	1.0	3486	tags=47%, list=23%, signal=61%	
COOPERATION OF PREFOLDIN AND TRIC CCT IN ACTIN AND TUBULIN FOLDING%REACTOME DATABASE ID RELEASE 83%389958	COOPERATION OF PREFOLDIN AND TRIC CCT IN ACTIN AND TUBULIN FOLDING%REACTOME DATABASE ID RELEASE 83%389958	Details ...	28	0.6681849	1.7093081	0.005181347	0.51159906	1.0	2659	tags=46%, list=17%, signal=56%	
COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 83%1474290	COLLAGEN FORMATION%REACTOME DATABASE ID RELEASE 83%1474290	Details ...	61	0.5973352	1.7074224	0.0011961722	0.4957242	1.0	3445	tags=48%, list=22%, signal=61%	
CELLULAR RESPONSE TO HEAT%GOBP%GO:0034605	CELLULAR RESPONSE TO HEAT%GOBP%GO:0034605	Details ...	32	0.6537137	1.706787	0.0012804097	0.4724465	1.0	1377	tags=28%, list=9%, signal=31%	
PREFOLDIN MEDIATED TRANSFER OF SUBSTRATE TO CCT TRIC%REACTOME DATABASE ID RELEASE 83%389957	PREFOLDIN MEDIATED TRANSFER OF SUBSTRATE TO CCT TRIC%REACTOME DATABASE ID RELEASE 83%389957	Details ...	26	0.6597562	1.7016913	0.0027210885	0.48239386	1.0	2659	tags=46%, list=17%, signal=56%	
COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.4	COLLAGEN BIOSYNTHESIS AND MODIFYING ENZYMES%REACTOME%R-HSA-1650814.4	Details ...	48	0.6151363	1.6999413	0.0	0.47079393	1.0	3445	tags=52%, list=22%, signal=67%	
PROTEIN HYDROXYLATION%GOBP%GO:0018126	PROTEIN HYDROXYLATION%GOBP%GO:0018126		22	0.70079595	1.6962461	0.0027816412	0.4725232	1.0	1705	tags=41%, list=11%, signal=46%	
